elevation,aspect,slope,hori_distance_hyd,vert_distance,hori_distance_road,hillshade_9am,hillshade_noon,hillshade_3pm,hori_distance_fire,wild_area,soil_type,cover_type
3136,140,11,150,4,3408,237,237,129,4991,0,29,1
3113,67,11,30,4,3509,231,218,119,5057,0,29,1
3090,172,20,67,7,3636,228,245,139,5142,0,29,1
3050,150,25,90,6,3756,242,230,101,5224,0,29,1
2998,127,16,30,3,3903,245,228,107,5326,0,28,2
2972,32,9,60,0,4039,218,221,138,5423,0,28,2
2965,45,6,120,16,4201,222,226,139,5541,0,28,2
2952,128,9,175,23,4349,235,235,131,5651,0,28,2
2936,129,9,339,23,4518,235,235,130,5783,0,28,2
2916,270,14,365,16,5658,182,244,201,6154,0,28,1
2975,257,10,591,77,5858,196,246,189,6032,0,28,2
3011,276,9,787,113,5857,197,242,184,5931,0,28,2
3027,11,6,700,62,5632,214,228,151,5823,0,11,2
3014,0,12,531,49,5437,202,217,152,5736,0,11,2
2998,95,8,390,33,5216,233,229,128,5643,0,11,2
2985,304,5,365,20,4996,206,237,171,5560,0,11,2
2985,151,5,469,20,4777,226,240,148,5332,0,11,2
2991,45,4,577,55,4396,221,230,145,4919,0,11,2
2973,85,9,658,37,4173,233,225,124,4683,0,11,2
2955,152,5,541,42,3979,226,240,149,4478,0,11,2
2940,142,5,454,27,3759,228,239,144,4243,0,11,2
2924,22,5,451,11,3569,217,229,149,4039,0,11,2
2928,350,9,513,15,3355,203,224,160,3805,0,11,2
2935,321,7,604,86,3170,203,234,170,3602,0,11,2
2947,24,11,510,112,2964,214,216,137,3371,0,11,2
2918,54,15,417,93,2787,228,207,109,3166,0,28,2
2853,56,14,295,32,2568,228,209,111,2903,0,28,2
2823,86,11,150,13,2405,236,222,117,2700,0,28,2
2814,180,5,60,7,2227,222,243,156,2468,0,22,2
2814,103,4,270,4,2083,227,234,141,2268,0,11,2
2799,96,7,365,43,1932,232,229,129,2040,0,11,2
2776,85,11,162,20,1816,236,221,114,1844,0,11,2
2739,120,18,30,-1,1706,248,222,95,1624,0,11,1
2695,116,9,42,4,1632,236,231,126,1437,0,11,1
2686,22,5,30,5,1578,217,229,149,1231,0,19,1
2673,42,7,120,2,1510,221,225,138,1064,0,28,2
2648,86,13,234,-3,1324,239,217,107,895,0,28,2
2620,115,13,175,42,1120,242,227,113,778,0,29,2
2571,132,14,150,17,883,242,232,117,700,0,29,2
2534,98,13,162,-11,677,240,222,110,696,0,22,2
3257,118,8,400,52,3056,234,233,130,4669,0,39,1
3228,102,8,201,23,3107,234,230,128,4752,0,38,1
3201,9,6,95,-3,3178,214,228,152,4857,0,28,1
3185,60,18,180,10,3254,231,199,94,4941,0,28,1
3142,106,8,180,-16,3354,233,231,130,5003,0,29,1
3119,163,9,85,10,3453,229,243,146,5066,0,29,1
3083,138,11,0,0,3578,237,236,129,5148,0,29,1
3057,146,26,60,7,3697,245,226,94,5227,0,29,1
3004,126,15,30,-3,3842,244,228,109,5327,0,28,2
2978,17,13,67,-3,3976,208,211,138,5421,0,28,2
2972,12,8,124,17,4138,212,224,149,5537,0,28,2
2962,107,10,182,26,4285,237,228,121,5645,0,28,2
2932,171,10,319,6,4455,227,245,150,5774,0,28,2
2903,293,8,301,3,5592,198,239,180,6160,0,15,1
2962,270,17,524,67,5792,173,244,209,6036,0,28,2
2998,260,9,721,100,5923,197,245,187,5933,0,28,2
3031,342,5,767,66,5699,209,232,161,5823,0,11,1
3024,34,12,595,59,5504,218,213,129,5733,0,11,2
3004,119,5,443,39,5282,228,235,141,5638,0,11,2
2982,0,5,390,17,5090,213,231,156,5562,0,18,1
2982,151,5,443,17,4872,226,240,148,5415,0,11,2
2982,281,13,591,0,4491,183,241,197,5002,0,11,2
2988,99,9,633,6,4267,235,228,123,4766,0,11,2
2962,129,6,618,49,4073,230,236,139,4560,0,11,2
2944,146,5,503,31,3853,228,239,145,4325,0,11,2
2926,165,7,480,13,3663,227,243,149,4120,0,11,2
2934,343,8,513,21,3448,204,228,163,3886,0,11,2
2940,319,11,591,32,3264,192,230,178,3682,0,11,2
2948,280,4,513,107,3056,208,240,170,3449,0,11,2
2936,62,9,433,105,2879,228,221,125,3247,0,11,2
2888,61,16,323,65,2682,232,204,100,3013,0,28,2
2845,96,7,212,27,2516,232,230,131,2809,0,28,2
2814,94,7,42,5,2335,232,229,130,2576,0,22,2
2816,243,2,150,6,2186,215,240,163,2374,0,11,2
2809,100,5,420,0,2010,229,233,138,2116,0,11,2
2781,153,1,242,25,1889,220,238,155,1917,0,11,2
2755,81,6,30,7,1771,229,229,134,1694,0,11,1
2712,43,12,30,-8,1689,222,213,124,1503,0,11,2
2688,17,6,0,0,1624,215,226,148,1291,0,19,1
2682,25,7,108,2,1592,217,225,145,1116,0,28,2
2664,70,7,201,0,1419,228,226,132,933,0,28,2
2629,100,8,255,51,1213,234,229,127,799,0,28,2
2588,117,19,180,10,977,249,219,90,693,0,29,2
2554,243,6,180,0,771,207,245,176,660,0,22,2
2519,62,4,258,-11,541,223,232,145,702,0,22,2
3244,32,9,277,39,3056,218,221,139,4743,0,38,1
3205,38,3,67,0,3121,219,233,150,4843,0,38,1
3201,0,14,150,0,3192,199,214,151,4939,0,28,1
3152,87,14,210,-22,3288,240,215,102,5007,0,29,1
3119,129,10,170,6,3383,237,234,127,5067,0,19,1
3106,102,10,42,10,3504,238,226,119,5144,0,29,1
3060,146,17,30,0,3620,241,236,119,5220,0,29,1
3021,131,14,30,3,3763,242,232,116,5316,0,28,2
2991,358,16,30,6,3895,194,209,151,5407,0,28,2
2975,37,5,120,7,4054,220,229,146,5519,0,28,2
2965,135,3,182,16,4200,224,238,149,5623,0,28,2
2936,155,13,277,14,4370,235,241,135,5750,0,28,2
2900,225,6,240,7,5525,212,245,170,6166,0,15,1
2945,273,13,457,50,5725,185,243,197,6040,0,28,2
2988,249,11,655,90,5902,197,248,189,5936,0,28,2
3027,270,7,834,62,5766,203,242,179,5823,0,11,2
3034,58,4,661,69,5571,223,230,143,5731,0,11,2
3004,150,9,484,39,5322,232,240,139,5622,0,11,2
2985,13,8,421,20,5130,213,225,149,5544,0,18,2
2982,108,8,457,17,4912,233,232,130,5440,0,11,2
2975,270,7,552,-6,4530,203,242,179,5026,0,11,2
2993,108,8,601,11,4306,233,232,130,4790,0,11,2
2963,126,9,646,-4,4113,235,234,130,4583,0,11,2
2944,162,10,541,31,3893,230,243,144,4348,0,11,2
2924,188,8,510,11,3703,221,247,159,4142,0,11,2
2937,288,3,532,24,3489,211,239,166,3908,0,11,2
2939,321,7,598,87,3304,203,234,170,3704,0,11,2
2947,315,5,497,106,3097,206,236,168,3471,0,11,2
2940,137,10,418,105,2920,235,237,132,3268,0,11,2
2890,78,16,295,64,2700,239,208,94,3007,0,28,2
2841,118,9,192,23,2535,237,232,126,2802,0,28,2
2809,122,6,0,0,2334,231,235,137,2539,0,22,2
2820,79,1,180,10,2188,220,236,152,2337,0,11,2
2805,108,6,420,-4,2034,231,233,136,2106,0,11,2
2781,36,4,240,25,1914,220,230,147,1907,0,11,2
2756,50,7,0,0,1798,224,225,136,1682,0,11,2
2720,51,9,0,0,1717,225,221,129,1490,0,11,2
2695,0,14,30,7,1653,199,214,151,1276,0,19,1
2686,23,7,134,9,1614,216,225,145,1099,0,28,2
2663,78,7,228,-2,1426,229,228,132,912,0,28,2
2629,82,11,277,51,1218,235,220,115,774,0,28,2
2582,100,17,210,4,983,246,215,93,664,0,29,2
2556,342,3,210,2,779,213,235,159,630,0,22,2
2518,172,2,283,-15,547,220,239,156,674,0,22,2
3250,45,6,272,45,3027,222,226,139,4770,0,39,1
3205,45,1,42,0,3093,219,236,154,4870,0,28,1
3211,3,13,134,10,3164,201,214,149,4966,0,28,1
3159,65,18,240,-15,3261,234,201,92,5036,0,29,1
3113,135,8,170,4,3371,233,237,135,5104,0,19,1
3096,92,12,60,0,3495,238,222,112,5183,0,29,1
3050,83,11,0,0,3613,235,221,116,5259,0,29,1
3008,86,7,0,0,3758,230,229,132,5356,0,28,2
3001,11,16,67,16,3892,202,206,139,5447,0,28,2
2978,68,3,153,10,4053,222,234,148,5560,0,28,2
2959,158,8,218,10,4200,229,242,145,5665,0,28,2
2926,152,7,319,4,4370,229,240,144,5792,0,28,2
2903,232,8,283,3,5558,207,248,178,6109,0,15,1
2962,258,14,503,64,5759,186,248,200,5984,0,28,2
2998,265,11,700,100,5937,191,245,193,5880,0,28,2
3031,198,5,799,66,5721,218,244,162,5769,0,11,2
3031,85,9,636,66,5527,233,225,124,5678,0,11,2
2995,113,5,497,30,5306,230,234,138,5582,0,11,2
2988,14,4,450,23,5115,216,231,153,5506,0,18,2
2978,74,7,495,13,4897,229,227,132,5406,0,11,2
2978,282,7,524,-3,4540,201,241,179,5021,0,11,2
2990,94,8,571,12,4318,232,229,129,4784,0,11,2
2959,97,8,618,-5,4124,233,229,129,4578,0,11,2
2937,162,10,569,24,3906,230,243,144,4342,0,11,2
2921,202,9,540,8,3716,216,248,167,4136,0,11,2
2935,202,3,560,22,3503,218,241,160,3901,0,11,2
2942,302,3,569,93,3319,211,238,165,3697,0,11,2
2949,247,2,470,108,3113,215,240,162,3463,0,11,2
2934,127,10,390,99,2937,237,234,126,3260,0,29,2
2901,99,17,283,75,2742,246,215,92,3029,0,29,2
2845,94,11,190,24,2577,237,224,117,2824,0,28,2
2812,137,8,30,2,2398,232,237,137,2590,0,28,2
2813,315,2,124,1,2250,213,237,162,2387,0,11,2
2810,18,7,361,0,2094,215,226,148,2155,0,11,2
2792,47,12,301,36,1972,224,214,122,1954,0,11,2
2762,82,7,67,6,1852,230,228,132,1728,0,11,2
2727,61,14,30,0,1766,231,209,107,1532,0,11,2
2703,9,15,60,12,1695,202,209,142,1315,0,19,1
2693,28,9,127,7,1660,217,220,139,1132,0,28,2
2673,58,9,228,2,1489,227,221,128,937,0,28,2
2640,63,8,339,-11,1283,227,224,131,787,0,28,2
2594,131,9,240,16,1048,235,235,131,658,0,29,2
2558,25,5,240,4,845,218,229,148,603,0,29,2
2520,83,8,283,-25,607,231,227,128,626,0,22,2
3254,60,9,300,49,2991,228,221,126,4786,0,39,1
3208,70,10,60,3,3055,231,220,120,4884,0,28,1
3214,277,6,95,13,3125,205,241,175,4978,0,28,1
3172,64,16,270,-2,3221,233,206,100,5057,0,29,1
3116,90,9,234,3,3316,235,225,121,5115,0,19,1
3096,171,10,108,0,3438,227,245,150,5190,0,29,1
3067,38,15,30,3,3554,218,205,118,5264,0,29,1
3018,68,8,30,-8,3697,229,223,127,5358,0,28,2
3008,344,14,67,10,3830,192,218,164,5447,0,28,1
2985,80,5,180,7,3990,227,230,137,5557,0,28,2
2959,145,8,240,4,4137,231,239,140,5660,0,28,2
2929,153,7,309,-2,4306,229,240,145,5784,0,28,2
2900,270,3,268,0,5541,212,240,166,6084,0,15,1
2959,258,14,495,61,5743,186,247,199,5958,0,28,2
2998,257,13,685,100,5922,190,247,195,5854,0,28,2
3027,266,4,816,62,5733,210,241,169,5742,0,11,2
3031,71,9,658,66,5539,230,223,126,5651,0,11,2
2998,25,9,524,33,5318,216,221,141,5555,0,11,2
2988,45,3,480,23,5127,220,232,148,5478,0,18,2
2978,9,14,451,-3,4719,203,211,144,5194,0,18,2
2982,276,9,510,0,4524,197,242,184,4986,0,11,2
2988,76,9,543,10,4302,232,223,124,4750,0,11,2
2958,54,12,600,0,4109,227,214,118,4543,0,11,2
2930,137,8,589,17,3891,233,237,135,4307,0,11,2
2916,184,6,570,3,3703,222,244,158,4101,0,22,2
2934,326,2,560,58,3491,215,237,160,3866,0,11,2
2940,153,6,532,91,3308,228,240,146,3661,0,11,2
2944,185,9,430,103,3104,222,246,158,3427,0,11,2
2925,128,17,351,90,2930,246,227,104,3223,0,29,2
2887,120,18,242,61,2736,247,223,97,2992,0,29,2
2839,101,10,150,18,2574,236,227,121,2789,0,28,2
2812,49,5,0,0,2397,222,229,143,2554,0,22,2
2815,340,5,162,3,2252,210,233,162,2350,0,11,2
2812,47,8,395,2,2100,223,222,133,2118,0,11,2
2793,44,14,277,37,1981,222,210,119,1917,0,11,2
2761,63,3,67,5,1865,222,233,146,1689,0,11,2
2727,33,16,60,0,1784,215,203,119,1493,0,28,2
2707,356,14,90,16,1718,197,215,155,1275,0,28,1
2695,20,10,170,9,1679,213,218,141,1091,0,28,2
2671,63,10,268,0,1463,229,221,124,895,0,28,2
2639,55,13,342,61,1259,228,211,114,745,0,28,2
2588,116,8,270,10,1022,235,232,129,618,0,29,2
2558,98,7,270,4,812,232,230,130,571,0,22,2
2519,32,6,323,-26,573,219,226,144,607,0,22,2
3244,65,9,242,39,2976,229,222,126,4837,0,39,1
3201,180,2,30,-3,3045,220,240,157,4938,0,28,1
3208,141,10,150,23,3120,235,238,133,5033,0,29,1
3155,76,15,277,49,3220,237,212,102,5102,0,29,1
3109,63,11,216,0,3319,230,218,120,5161,0,19,1
3090,158,12,108,7,3445,233,242,138,5239,0,29,1
3064,36,15,60,4,3564,218,205,119,5315,0,28,1
3021,82,7,60,3,3711,230,228,130,5410,0,28,1
3014,60,9,124,23,3847,227,221,127,5501,0,28,1
2978,92,8,212,3,4010,233,228,128,5612,0,28,2
2952,151,8,277,0,4158,231,240,141,5716,0,28,2
2916,135,7,323,10,4414,232,237,137,5908,0,18,2
2939,252,18,430,41,5676,176,249,209,5963,0,28,2
2988,257,13,644,90,5881,190,247,195,5842,0,28,2
3024,277,8,836,125,5799,198,242,183,5743,0,11,2
3034,18,2,700,69,5578,217,234,154,5636,0,11,2
3008,28,13,577,43,5385,215,212,132,5550,0,11,2
2991,90,5,511,26,5167,228,231,137,5460,0,18,2
2978,334,7,420,-3,4814,204,231,166,5278,0,18,2
2978,295,10,457,-3,4590,193,238,185,5041,0,11,2
3003,72,3,510,25,4396,223,233,146,4833,0,11,2
2970,39,6,552,5,4176,220,227,142,4597,0,11,2
2933,119,7,570,-11,3985,233,234,133,4390,0,22,2
2914,98,5,589,34,3770,228,233,138,4154,0,11,2
2924,275,9,541,44,3584,197,242,185,3948,0,11,2
2936,201,7,510,60,3375,217,247,165,3713,0,11,2
2947,180,4,443,95,3196,221,242,156,3508,0,11,2
2934,158,15,350,96,2996,235,241,132,3274,0,29,2
2900,167,12,256,69,2826,230,244,145,3071,0,29,2
2850,114,14,150,27,2639,243,225,108,2839,0,28,2
2817,88,5,30,4,2483,228,231,137,2636,0,28,2
2818,315,5,127,12,2315,206,235,169,2401,0,11,2
2816,51,3,313,6,2179,221,232,147,2197,0,11,2
2808,20,7,342,52,2039,215,225,147,1966,0,11,2
2776,83,8,150,20,1932,232,226,127,1765,0,11,2
2746,47,12,95,19,1833,224,214,123,1538,0,28,2
2720,10,13,90,7,1768,205,213,143,1343,0,28,2
2708,28,17,162,20,1723,210,200,120,1128,0,28,2
2688,47,11,268,8,1543,224,216,125,949,0,28,2
2652,35,14,366,-11,1310,218,209,124,764,0,28,2
2600,76,14,301,22,1080,236,214,106,618,0,29,2
2564,67,7,277,28,841,228,226,132,543,0,29,2
2525,47,11,277,-10,631,224,215,124,560,0,22,2
3244,112,5,218,39,2955,229,234,139,4877,0,39,1
3201,35,6,42,-3,3017,219,227,144,4965,0,28,1
3201,141,9,150,19,3104,234,238,135,5074,0,29,1
3155,100,12,247,49,3193,239,224,113,5131,0,29,1
3109,45,9,210,3,3308,223,220,132,5199,0,19,1
3083,114,6,127,13,3420,230,234,138,5267,0,29,1
3060,70,13,90,6,3576,234,213,108,5365,0,28,1
3008,121,13,90,-9,3707,242,228,113,5450,0,29,1
3001,104,13,175,6,3865,241,223,110,5555,0,29,2
2975,90,8,247,0,4009,232,228,129,5653,0,28,2
2939,132,17,323,-12,4179,245,229,106,5773,0,28,2
2909,299,5,306,14,5559,206,238,171,6001,0,15,1
2965,225,7,525,67,5762,211,247,172,5876,0,28,2
3004,284,10,713,106,5922,191,240,189,5773,0,28,2
3041,307,7,807,76,5700,201,236,175,5662,0,11,2
3027,18,10,666,62,5507,213,220,143,5571,0,11,2
3004,51,9,560,39,5289,225,221,129,5476,0,11,2
2995,90,2,457,13,5099,222,236,150,5400,0,11,2
2982,288,2,395,0,4713,213,239,164,5155,0,28,2
2988,270,10,459,6,4518,193,244,190,4947,0,11,2
2982,100,8,488,10,4298,234,229,127,4710,0,11,2
2954,112,9,540,5,4107,237,230,124,4503,0,22,2
2920,121,6,543,-1,3864,230,235,139,4237,0,11,2
2916,240,5,524,36,3678,210,244,172,4030,0,22,2
2931,213,8,488,55,3468,213,248,171,3795,0,11,2
2931,190,11,458,82,3288,220,249,161,3589,0,11,2
2929,162,14,342,88,3062,233,243,137,3326,0,29,2
2899,156,14,258,64,2892,235,241,133,3121,0,29,2
2859,141,19,150,33,2704,245,231,107,2889,0,29,2
2824,84,11,42,3,2547,235,222,117,2687,0,28,2
2811,298,7,108,1,2377,200,238,177,2454,0,11,2
2819,174,5,268,12,2240,223,242,155,2249,0,11,2
2810,18,8,408,54,2097,215,224,146,2016,0,11,2
2778,93,8,216,22,1987,233,228,127,1813,0,11,2
2755,74,7,124,0,1883,229,227,132,1584,0,28,2
2732,31,16,120,5,1813,214,203,120,1387,0,28,2
2724,9,17,162,36,1761,199,205,140,1167,0,28,2
2700,28,13,268,19,1595,215,212,131,983,0,28,2
2666,28,8,362,0,1361,217,223,141,787,0,28,2
2620,93,17,350,80,1158,245,212,90,642,0,29,2
2581,70,15,272,45,930,235,210,103,532,0,29,2
2541,64,10,240,5,720,230,219,122,514,0,22,2
2517,66,5,295,-6,480,225,230,141,592,0,28,2
3214,63,14,108,9,2969,232,211,109,4966,0,28,1
3195,180,14,85,13,3053,224,248,152,5072,0,28,1
3168,111,18,228,6,3140,247,218,93,5144,0,29,1
3126,71,11,180,20,3252,232,219,118,5210,0,29,1
3093,43,8,190,10,3362,222,222,136,5275,0,19,1
3067,141,13,120,-2,3498,238,236,125,5359,0,29,1
3024,90,14,120,-16,3626,240,218,105,5440,0,29,1
3004,200,20,162,-3,3782,209,253,171,5541,0,29,2
2982,162,9,270,-2,3925,229,243,145,5636,0,28,2
2945,115,13,331,-16,4094,242,227,113,5753,0,28,2
2926,162,3,384,13,4243,222,240,153,5861,0,28,2
2949,242,15,433,51,5670,190,251,197,5896,0,28,2
2988,280,16,618,90,5850,176,240,204,5790,0,28,2
3034,306,6,845,138,5795,202,236,174,5676,0,28,2
3034,27,3,745,69,5602,218,232,151,5582,0,11,2
3018,18,8,616,36,5383,215,224,146,5483,0,11,2
2998,65,5,474,13,5193,225,230,140,5404,0,18,2
2985,90,4,360,3,4780,226,233,141,5210,0,28,2
2982,315,1,417,0,4585,215,237,160,5002,0,11,2
2993,104,10,451,21,4365,238,227,119,4765,0,11,2
2955,123,13,510,6,4147,241,230,116,4528,0,22,2
2919,110,5,510,-2,3931,228,234,140,4291,0,22,2
2907,94,4,513,27,3745,225,234,144,4084,0,22,2
2924,185,10,474,48,3535,222,248,158,3848,0,11,2
2929,114,8,446,77,3355,233,233,131,3642,0,11,2
2926,173,14,350,77,3154,228,246,147,3407,0,29,2
2904,148,19,268,66,2982,241,235,115,3202,0,29,2
2867,137,20,162,42,2793,247,228,100,2969,0,29,2
2837,155,12,67,14,2634,234,241,137,2765,0,29,2
2814,24,5,67,1,2461,217,230,149,2534,0,11,2
2816,270,0,212,10,2320,217,238,158,2330,0,11,2
2814,200,6,361,23,2173,218,245,163,2096,0,11,2
2800,118,11,309,44,2058,240,230,118,1892,0,11,2
2769,67,9,153,13,1947,229,222,125,1661,0,28,2
2753,25,14,150,26,1869,212,208,130,1461,0,28,2
2729,342,14,175,24,1806,189,217,166,1237,0,28,2
2720,23,22,242,32,1677,201,187,114,1047,0,28,2
2679,57,13,351,4,1442,228,213,116,841,0,28,2
2647,113,15,371,83,1237,245,223,104,679,0,28,2
2589,133,9,268,49,1006,235,236,132,537,0,29,2
2559,65,13,212,23,808,232,212,110,481,0,29,2
2524,40,7,242,-11,570,221,224,138,524,0,22,2
3224,108,8,150,19,2932,233,232,130,4981,0,38,1
3191,177,13,42,9,3014,226,247,151,5085,0,28,1
3175,122,16,190,13,3099,245,226,104,5166,0,29,1
3129,74,9,150,23,3211,231,223,125,5230,0,29,1
3100,50,11,190,0,3320,225,216,124,5294,0,19,1
3067,144,13,150,-2,3456,238,237,126,5376,0,29,1
3034,102,15,150,-15,3584,243,220,102,5456,0,29,1
2988,164,10,182,-19,3740,230,243,145,5555,0,29,1
2972,151,12,277,-12,3883,235,240,134,5649,0,28,2
2952,68,15,350,-15,4052,234,210,104,5764,0,28,2
2926,62,4,376,20,4200,223,232,145,5871,0,19,2
2952,257,17,443,54,5680,179,248,206,5855,0,28,2
2998,280,9,636,100,5861,194,241,187,5749,0,28,2
3037,275,6,866,141,5779,205,241,176,5635,0,11,2
3037,60,8,745,46,5586,226,224,132,5542,0,11,2
3014,80,8,573,32,5368,231,225,127,5444,0,11,2
2991,76,4,433,6,5179,225,232,143,5365,0,11,2
2982,27,3,331,0,4763,218,232,151,5176,0,28,2
2982,209,6,395,0,4569,216,246,166,4968,0,11,2
2985,80,8,424,17,4350,231,225,127,4731,0,11,2
2954,95,11,480,9,4160,238,224,116,4523,0,11,2
2921,20,5,481,0,3918,217,229,150,4256,0,22,2
2909,325,4,474,29,3733,210,235,163,4049,0,22,2
2923,230,8,437,47,3524,208,247,176,3813,0,11,2
2921,138,11,408,69,3346,237,236,129,3607,0,11,2
2917,175,15,309,68,3146,227,247,147,3371,0,29,2
2893,155,15,228,55,2976,237,240,129,3166,0,29,2
2853,141,15,124,28,2789,241,235,119,2932,0,29,2
2827,146,12,30,4,2632,236,238,131,2729,0,29,2
2817,358,6,108,4,2462,211,229,156,2497,0,11,2
2821,141,3,242,30,2324,225,238,149,2295,0,11,2
2809,162,8,361,18,2180,228,242,147,2060,0,11,2
2792,101,10,300,36,2069,236,227,121,1855,0,11,2
2765,60,9,180,9,1962,227,221,127,1624,0,28,2
2754,40,11,180,27,1888,221,215,127,1423,0,28,2
2741,338,13,210,36,1830,190,220,169,1198,0,28,2
2726,23,22,283,38,1642,201,186,113,1006,0,28,2
2677,59,12,390,2,1406,229,214,116,799,0,28,2
2635,119,12,335,71,1201,241,229,117,636,0,29,2
2581,166,8,228,41,968,227,243,149,497,0,29,2
2558,90,7,180,22,769,231,229,132,450,0,29,2
2523,105,7,218,0,540,233,231,130,510,0,22,2
3214,111,15,124,9,2912,245,222,102,5020,0,28,1
3182,174,14,42,7,2998,227,246,148,5125,0,28,1
3162,113,17,175,7,3086,247,221,96,5202,0,29,1
3126,111,8,120,20,3200,234,231,129,5267,0,29,1
3096,59,13,175,-3,3312,230,211,112,5332,0,19,1
3054,137,11,180,-15,3450,237,236,128,5415,0,29,1
3021,94,12,180,-28,3580,238,222,113,5495,0,19,1
2985,162,12,218,-22,3737,231,243,142,5595,0,29,2
2968,160,15,319,-16,3882,234,242,135,5690,0,28,2
2952,64,17,391,-15,4052,233,202,95,5805,0,28,2
2926,241,16,350,28,5588,189,251,199,5877,0,28,2
2985,270,12,569,87,5794,188,244,195,5753,0,28,2
3024,236,9,771,128,5873,205,248,181,5651,0,28,2
3041,29,5,774,50,5653,218,229,147,5541,0,11,2
3021,66,6,594,39,5435,226,228,137,5440,0,11,2
2998,70,5,426,13,5219,225,230,140,5348,0,11,2
2991,321,10,306,9,4914,194,230,176,5237,0,28,2
2988,0,0,323,6,4692,218,238,156,5083,0,28,2
2978,183,14,390,0,4499,223,249,155,4875,0,11,2
2977,75,10,418,18,4281,233,221,120,4637,0,11,2
2939,73,12,450,3,4092,234,217,113,4429,0,22,2
2917,90,5,459,-4,3879,228,231,137,4192,0,22,2
2906,190,5,430,26,3695,220,244,159,3985,0,22,2
2923,209,9,395,47,3489,214,248,170,3749,0,11,2
2912,187,4,362,63,3312,220,242,158,3542,0,29,2
2907,162,15,256,58,3114,234,242,135,3307,0,29,2
2879,158,14,182,44,2947,234,242,135,3101,0,29,2
2837,143,14,67,12,2763,240,236,122,2867,0,29,2
2825,323,5,0,0,2609,207,235,166,2663,0,22,2
2815,138,7,170,1,2444,231,238,140,2431,0,11,2
2806,153,10,228,15,2310,232,241,139,2230,0,11,2
2805,148,3,376,18,2172,224,239,151,1995,0,11,2
2780,95,8,277,24,2067,233,229,128,1790,0,11,2
2766,350,10,212,10,1967,202,224,159,1558,0,28,2
2750,38,14,210,23,1900,219,209,122,1357,0,28,2
2750,356,15,247,51,1786,194,212,154,1131,0,28,2
2730,23,24,342,44,1578,199,181,110,939,0,28,2
2669,87,10,351,83,1342,235,224,119,732,0,28,2
2623,129,16,277,59,1136,244,229,109,573,0,29,2
2570,125,15,182,30,902,244,228,109,446,0,29,2
2543,132,19,150,7,702,247,227,100,424,0,22,2
2510,83,13,210,-9,480,238,217,108,516,0,28,2
3198,45,10,67,7,2914,223,219,130,5086,0,28,1
3182,200,15,95,14,3007,214,252,169,5194,0,28,1
3142,137,11,124,16,3101,237,236,128,5254,0,29,1
3113,141,3,95,7,3221,225,238,149,5323,0,29,1
3073,49,15,212,3,3355,225,207,112,5400,0,19,1
3041,45,11,210,-22,3519,223,216,126,5499,0,19,1
2995,107,7,218,-35,3655,233,232,131,5584,0,19,1
2965,135,15,324,-25,3840,243,232,115,5702,0,19,2
2962,191,11,390,-15,3988,220,249,162,5801,0,28,2
2922,253,13,335,24,5572,189,248,197,5851,0,28,2
2978,251,12,532,80,5753,193,248,193,5742,0,28,2
3024,238,9,765,128,5885,204,248,181,5624,0,28,2
3044,225,3,782,53,5693,215,242,165,5528,0,11,2
3031,58,9,594,43,5475,227,221,127,5425,0,11,2
3011,51,9,446,26,5286,225,221,129,5343,0,11,2
2991,17,11,301,9,5008,211,216,141,5237,0,28,1
2995,4,10,270,13,4814,207,220,151,5172,0,28,2
2972,132,6,335,-5,4593,231,237,139,4960,0,11,2
2984,214,9,361,19,4402,212,249,172,4752,0,11,2
2960,47,10,420,15,4186,224,217,127,4514,0,11,2
2926,138,7,420,4,3999,231,238,140,4306,0,22,2
2916,68,3,430,36,3788,222,234,148,4069,0,22,2
2909,200,6,390,29,3607,218,245,163,3862,0,11,2
2920,115,8,360,70,3403,234,233,130,3625,0,11,2
2903,170,14,283,51,3229,230,245,143,3419,0,29,2
2879,150,15,175,38,3013,238,238,126,3154,0,29,2
2847,142,15,85,16,2850,241,235,119,2948,0,29,2
2827,7,10,0,0,2673,208,221,150,2714,0,22,2
2818,54,4,127,0,2527,222,231,144,2510,0,11,2
2810,137,8,182,19,2371,233,237,136,2279,0,11,2
2808,127,10,297,16,2247,237,234,126,2077,0,11,2
2791,79,11,339,35,2121,234,220,117,1842,0,11,2
2774,20,6,242,18,2029,216,227,148,1637,0,28,2
2761,20,9,240,34,1945,214,221,143,1405,0,28,2
2751,355,15,256,30,1872,195,213,154,1205,0,28,2
2748,14,15,335,60,1634,204,207,137,981,0,28,2
2692,72,18,362,83,1426,237,204,91,793,0,28,2
2629,126,15,277,60,1189,244,229,110,595,0,29,2
2583,118,11,182,43,983,239,230,119,458,0,29,2
2546,137,17,120,10,750,244,232,111,390,0,29,2
2523,105,5,153,1,552,228,234,140,443,0,22,2
3208,45,6,127,17,2866,222,226,139,5087,0,28,1
3172,121,12,30,-2,2943,241,230,116,5179,0,28,1
3152,96,16,120,26,3046,244,216,97,5268,0,29,1
3116,143,16,60,10,3149,241,235,119,5325,0,29,1
3100,54,15,150,7,3279,227,206,108,5398,0,29,1
3054,45,13,240,-15,3402,223,210,119,5471,0,19,1
3027,70,16,240,-26,3553,235,208,100,5562,0,19,1
2985,50,16,277,-32,3693,225,204,108,5649,0,19,1
2955,182,8,391,-29,3882,223,245,156,5771,0,19,2
2939,105,14,366,23,4031,243,222,106,5872,0,28,2
