education,sex,hours-per-week,race,age,occupation,marital-status,education-num,fnlwgt,capital-loss,relationship,workclass,capital-gain,income
9th,Male,40,White,32,Craft-repair,Married-civ-spouse,5,182323,0,Husband,Private,0,<=50K
11th,Female,40,Black,50,Sales,Never-married,7,166419,0,Not-in-family,Federal-gov,3674,<=50K
HS-grad,Male,60,White,47,Exec-managerial,Married-civ-spouse,9,155659,0,Husband,Private,0,<=50K
9th,Male,35,White,33,Machine-op-inspct,Divorced,5,155198,0,Not-in-family,Private,0,<=50K
Some-college,Male,40,White,48,Adm-clerical,Never-married,10,100931,0,Not-in-family,Self-emp-not-inc,0,<=50K
7th-8th,Male,35,White,23,Other-service,Never-married,4,162945,0,Own-child,Private,0,<=50K
Bachelors,Male,40,White,31,Exec-managerial,Married-civ-spouse,13,334346,0,Husband,Federal-gov,0,>50K
Some-college,Male,40,Black,26,Machine-op-inspct,Married-civ-spouse,10,181597,0,Husband,Private,0,<=50K
Bachelors,Male,40,Black,50,Sales,Divorced,13,210217,0,Unmarried,Private,0,<=50K
HS-grad,Male,24,Asian-Pac-Islander,19,Other-service,Never-married,9,271521,0,Other-relative,Private,0,<=50K
11th,Male,15,White,18,Handlers-cleaners,Never-married,7,51255,0,Own-child,Private,0,<=50K
Assoc-acdm,Female,99,White,44,Other-service,Married-civ-spouse,12,26669,0,Wife,Self-emp-not-inc,0,<=50K
Assoc-voc,Male,50,White,54,Sales,Married-civ-spouse,11,194580,0,Husband,Private,0,<=50K
HS-grad,Male,40,White,35,Protective-serv,Married-civ-spouse,9,177974,0,Husband,State-gov,0,>50K
HS-grad,Male,50,White,50,Farming-fishing,Married-civ-spouse,9,136913,0,Husband,Self-emp-inc,0,<=50K
HS-grad,Male,40,White,43,Craft-repair,Married-civ-spouse,9,230961,0,Husband,State-gov,0,<=50K
Some-college,Male,40,White,28,Adm-clerical,Divorced,10,167062,0,Unmarried,Private,0,<=50K
HS-grad,Male,40,White,47,Exec-managerial,Married-civ-spouse,9,120131,0,Husband,Private,0,<=50K
Prof-school,Female,45,White,30,Prof-specialty,Never-married,15,171876,0,Not-in-family,Private,0,<=50K
HS-grad,Male,45,White,19,Craft-repair,Never-married,9,136866,0,Own-child,Private,0,<=50K
Some-college,Male,40,White,40,Other-service,Married-civ-spouse,10,316820,1485,Husband,Private,0,<=50K
Masters,Male,50,White,55,Sales,Married-civ-spouse,14,185459,0,Husband,Private,0,>50K
Assoc-voc,Male,43,White,31,Machine-op-inspct,Divorced,11,43716,0,Unmarried,Private,0,<=50K
Assoc-voc,Male,40,White,30,Exec-managerial,Divorced,11,220939,0,Not-in-family,Private,0,<=50K
Bachelors,Female,43,Amer-Indian-Eskimo,51,Prof-specialty,Never-married,13,40808,0,Not-in-family,Federal-gov,0,<=50K
HS-grad,Female,40,White,34,Transport-moving,Divorced,9,183473,0,Own-child,Private,0,<=50K
Masters,Male,45,White,59,Exec-managerial,Married-civ-spouse,14,108496,0,Husband,Private,0,>50K
HS-grad,Female,38,White,50,Exec-managerial,Divorced,9,204838,0,Unmarried,Private,0,<=50K
HS-grad,Male,40,White,29,Machine-op-inspct,Divorced,9,132686,0,Unmarried,Private,0,<=50K
10th,Male,40,White,17,Farming-fishing,Never-married,6,117906,0,Own-child,State-gov,0,<=50K
HS-grad,Female,30,White,24,Other-service,Never-married,9,304386,0,Own-child,Private,0,<=50K
Masters,Female,18,White,39,Prof-specialty,Married-civ-spouse,14,165215,1902,Wife,Private,0,>50K
HS-grad,Female,45,White,34,Machine-op-inspct,Never-married,9,248795,0,Not-in-family,Private,0,<=50K
HS-grad,Male,40,White,44,Prof-specialty,Married-civ-spouse,9,124692,1902,Husband,Self-emp-not-inc,0,>50K
Some-college,Female,40,White,37,Adm-clerical,Divorced,10,128054,0,Unmarried,Local-gov,0,<=50K
Masters,Female,65,White,39,Exec-managerial,Married-civ-spouse,14,179731,2415,Wife,Private,0,>50K
Prof-school,Male,40,White,32,Prof-specialty,Married-civ-spouse,15,113543,0,Husband,Self-emp-inc,0,>50K
Some-college,Female,28,White,23,Other-service,Never-married,10,252153,0,Not-in-family,Private,0,<=50K
Some-college,Male,42,White,45,Adm-clerical,Divorced,10,45891,0,Unmarried,Federal-gov,0,<=50K
11th,Male,40,White,30,Handlers-cleaners,Divorced,7,112263,0,Own-child,Private,0,<=50K
12th,Female,10,White,20,Other-service,Divorced,8,47791,0,Not-in-family,Private,0,<=50K
HS-grad,Female,30,White,21,Sales,Never-married,9,34918,0,Own-child,Private,0,<=50K
HS-grad,Male,45,White,31,Prof-specialty,Married-civ-spouse,9,132996,0,Husband,Private,5178,>50K
Assoc-voc,Male,40,Black,34,Handlers-cleaners,Never-married,11,306215,0,Not-in-family,Private,0,<=50K
HS-grad,Male,40,Black,25,Other-service,Separated,9,203570,0,Unmarried,Private,0,<=50K
Bachelors,Male,35,White,41,Craft-repair,Separated,13,355918,0,Not-in-family,Self-emp-not-inc,0,<=50K
Prof-school,Male,50,White,35,Prof-specialty,Married-civ-spouse,15,198841,0,Husband,Self-emp-not-inc,0,>50K
Bachelors,Female,40,White,42,Exec-managerial,Divorced,13,282964,0,Unmarried,Private,0,<=50K
10th,Male,60,White,44,Machine-op-inspct,Married-civ-spouse,6,98779,0,Husband,Private,4386,<=50K
Bachelors,Male,40,White,32,Exec-managerial,Married-civ-spouse,13,200246,0,Husband,Private,0,>50K
Some-college,Male,40,Asian-Pac-Islander,25,Sales,Never-married,10,182771,0,Own-child,Private,0,<=50K
11th,Male,50,White,23,Transport-moving,Married-civ-spouse,7,199908,0,Husband,Private,0,<=50K
Bachelors,Male,60,White,53,Sales,Never-married,13,35295,0,Unmarried,Self-emp-not-inc,0,>50K
Doctorate,Male,52,White,27,Prof-specialty,Never-married,16,216858,0,Not-in-family,Private,0,<=50K
Bachelors,Female,65,White,27,Adm-clerical,Never-married,13,332187,0,Not-in-family,Private,0,<=50K
HS-grad,Female,45,White,57,Exec-managerial,Never-married,9,255109,0,Not-in-family,Private,0,<=50K
11th,Female,20,White,17,Sales,Never-married,7,111332,0,Own-child,Private,0,<=50K
HS-grad,Female,38,White,59,Adm-clerical,Divorced,9,238431,0,Unmarried,Local-gov,0,<=50K
HS-grad,Female,40,White,34,Other-service,Never-married,9,131552,0,Own-child,Private,0,<=50K
10th,Male,55,White,30,Transport-moving,Married-civ-spouse,6,110239,0,Husband,Private,0,<=50K
Assoc-acdm,Female,45,Black,31,Adm-clerical,Never-married,12,255830,0,Own-child,State-gov,0,<=50K
Some-college,Male,30,White,23,Sales,Never-married,10,82998,0,Not-in-family,Private,0,<=50K
HS-grad,Male,40,White,19,Transport-moving,Never-married,9,164320,0,Own-child,Private,0,<=50K
Assoc-voc,Male,40,White,20,Farming-fishing,Never-married,11,263498,0,Own-child,Self-emp-not-inc,0,<=50K
HS-grad,Male,40,White,52,Sales,Divorced,9,162381,0,Not-in-family,Self-emp-not-inc,0,<=50K
Bachelors,Male,50,White,39,Prof-specialty,Married-civ-spouse,13,229651,0,Husband,Local-gov,0,>50K
HS-grad,Female,50,White,27,Other-service,Separated,9,357348,0,Unmarried,Private,0,<=50K
Some-college,Female,35,White,19,Sales,Never-married,10,269657,0,Not-in-family,Private,0,<=50K
Bachelors,Female,15,White,38,Prof-specialty,Married-civ-spouse,13,82880,0,Wife,Local-gov,0,<=50K
HS-grad,Male,16,White,19,Handlers-cleaners,Never-married,9,389755,0,Own-child,Private,0,<=50K
Bachelors,Female,40,White,34,Prof-specialty,Married-civ-spouse,13,195136,1887,Wife,Private,0,>50K
HS-grad,Female,40,White,23,Machine-op-inspct,Married-civ-spouse,9,222925,0,Own-child,Private,2105,<=50K
Bachelors,Female,40,White,24,Adm-clerical,Never-married,13,50341,0,Not-in-family,Private,0,<=50K
10th,Male,84,Amer-Indian-Eskimo,22,Transport-moving,Never-married,6,214134,0,Not-in-family,Private,0,<=50K
Prof-school,Male,60,White,45,Prof-specialty,Married-civ-spouse,15,114032,0,Husband,Private,0,>50K
HS-grad,Male,60,White,45,Exec-managerial,Married-civ-spouse,9,192053,0,Husband,Private,0,>50K
Bachelors,Male,60,White,42,Sales,Married-civ-spouse,13,44402,0,Husband,Private,0,<=50K
Some-college,Male,50,White,35,Sales,Married-civ-spouse,10,191503,0,Husband,Self-emp-not-inc,0,<=50K
HS-grad,Female,40,Amer-Indian-Eskimo,32,Other-service,Divorced,9,163530,0,Unmarried,Private,0,<=50K
HS-grad,Female,32,White,51,Exec-managerial,Married-civ-spouse,9,136823,0,Wife,Local-gov,0,<=50K
Some-college,Male,40,White,59,Exec-managerial,Married-civ-spouse,10,121912,0,Husband,Private,0,>50K
HS-grad,Male,40,White,31,Transport-moving,Never-married,9,58624,0,Own-child,Local-gov,0,<=50K
Bachelors,Male,50,White,27,Tech-support,Never-married,13,74056,0,Not-in-family,Local-gov,0,<=50K
Assoc-acdm,Female,35,White,57,Adm-clerical,Widowed,12,182028,0,Not-in-family,Private,0,<=50K
HS-grad,Male,40,White,40,Other-service,Never-married,9,209040,0,Not-in-family,Private,0,<=50K
HS-grad,Male,40,White,31,Machine-op-inspct,Divorced,9,206046,0,Not-in-family,Private,0,<=50K
7th-8th,Male,40,White,23,Machine-op-inspct,Never-married,4,182494,0,Own-child,Private,0,<=50K
HS-grad,Male,40,White,60,Sales,Married-civ-spouse,9,147473,0,Husband,Private,0,<=50K
Masters,Female,50,White,53,Exec-managerial,Never-married,14,221722,0,Not-in-family,Local-gov,14344,>50K
HS-grad,Male,40,White,27,Handlers-cleaners,Never-married,9,221912,0,Own-child,Private,0,<=50K
HS-grad,Male,45,White,31,Transport-moving,Married-civ-spouse,9,48189,0,Husband,Private,0,<=50K
Bachelors,Male,40,White,29,Craft-repair,Never-married,13,382272,0,Not-in-family,State-gov,0,<=50K
Bachelors,Male,40,White,22,Farming-fishing,Never-married,13,48347,0,Own-child,Private,0,<=50K
Bachelors,Female,38,White,42,Prof-specialty,Never-married,13,143046,1564,Not-in-family,Private,0,>50K
Prof-school,Male,50,White,63,Prof-specialty,Married-civ-spouse,15,137940,0,Husband,Self-emp-inc,15024,>50K
HS-grad,Male,40,White,28,Sales,Married-civ-spouse,9,249571,0,Husband,Private,0,<=50K
Some-college,Male,20,White,79,Adm-clerical,Married-civ-spouse,10,121318,0,Husband,Private,0,<=50K
HS-grad,Male,40,White,39,Craft-repair,Married-civ-spouse,9,224531,0,Husband,Private,7298,>50K
12th,Male,40,Other,29,Other-service,Never-married,8,185019,0,Not-in-family,Private,0,<=50K
7th-8th,Male,40,White,60,Other-service,Divorced,4,27886,0,Not-in-family,Private,0,<=50K
12th,Female,24,White,58,Other-service,Married-civ-spouse,8,94741,0,Wife,Private,0,<=50K
Assoc-acdm,Female,18,White,20,Other-service,Never-married,12,107801,2205,Own-child,Private,0,<=50K
HS-grad,Male,65,White,44,Transport-moving,Married-civ-spouse,9,191256,0,Husband,Private,0,>50K
HS-grad,Male,48,White,47,Transport-moving,Married-civ-spouse,9,256866,0,Husband,Private,0,<=50K
HS-grad,Male,24,White,59,Protective-serv,Married-civ-spouse,9,197148,0,Husband,Private,0,>50K
Masters,Male,65,White,37,Exec-managerial,Divorced,14,312271,0,Not-in-family,Private,0,<=50K
HS-grad,Male,40,White,21,Machine-op-inspct,Separated,9,118657,0,Other-relative,Private,0,<=50K
Assoc-voc,Female,40,White,68,Exec-managerial,Widowed,11,224338,0,Not-in-family,Private,0,<=50K
Some-college,Male,40,White,43,Adm-clerical,Married-civ-spouse,10,242488,0,Husband,Private,5013,<=50K
HS-grad,Female,33,White,23,Craft-repair,Never-married,9,227915,0,Unmarried,Private,0,<=50K
Masters,Female,35,White,40,Adm-clerical,Never-married,14,105717,1876,Not-in-family,Local-gov,0,<=50K
Some-college,Female,35,White,45,Sales,Never-married,10,160962,0,Own-child,Self-emp-not-inc,0,<=50K
Some-college,Male,40,White,22,Tech-support,Never-married,10,188950,0,Own-child,Private,0,<=50K
Bachelors,Male,50,White,38,Prof-specialty,Married-civ-spouse,13,201328,0,Husband,Private,0,>50K
Some-college,Male,49,White,24,Sales,Never-married,10,218678,0,Not-in-family,Private,0,<=50K
HS-grad,Female,40,White,23,Sales,Married-civ-spouse,9,184255,0,Wife,Private,0,<=50K
Some-college,Male,45,White,39,Adm-clerical,Married-civ-spouse,10,200968,0,Other-relative,Federal-gov,0,>50K
Some-college,Male,40,White,26,Craft-repair,Never-married,10,102264,0,Not-in-family,Private,0,<=50K
HS-grad,Male,40,White,24,Handlers-cleaners,Never-married,9,300584,0,Unmarried,Private,0,<=50K
Some-college,Male,25,White,22,Adm-clerical,Never-married,10,208946,0,Own-child,Private,0,<=50K
Bachelors,Male,55,White,36,Prof-specialty,Married-civ-spouse,13,105021,0,Husband,Private,0,<=50K
Some-college,Female,20,White,20,Priv-house-serv,Never-married,10,124751,0,Own-child,Private,0,<=50K
11th,Male,8,Black,18,Other-service,Never-married,7,274057,0,Own-child,Private,0,<=50K
Bachelors,Male,40,White,38,Exec-managerial,Married-civ-spouse,13,132879,0,Husband,Private,0,>50K
Bachelors,Male,35,White,43,Farming-fishing,Divorced,13,260960,0,Not-in-family,Self-emp-inc,0,<=50K
Masters,Male,40,White,42,Exec-managerial,Married-civ-spouse,14,356934,0,Husband,Private,0,>50K
Bachelors,Male,50,White,35,Exec-managerial,Married-civ-spouse,13,154410,0,Husband,Private,0,>50K
Some-college,Female,45,White,31,Adm-clerical,Divorced,10,35378,0,Not-in-family,Private,0,<=50K
1st-4th,Male,20,White,73,Transport-moving,Married-civ-spouse,2,301210,1735,Husband,Private,0,<=50K
Some-college,Female,42,White,32,Exec-managerial,Divorced,10,73621,0,Unmarried,Private,0,<=50K
Masters,Male,45,White,37,Exec-managerial,Married-civ-spouse,14,108140,0,Husband,Private,15024,>50K
HS-grad,Male,10,White,66,Handlers-cleaners,Married-civ-spouse,9,217198,0,Husband,Private,0,<=50K
HS-grad,Female,35,White,22,Other-service,Never-married,9,157332,0,Own-child,Private,0,<=50K
Assoc-voc,Male,40,White,51,Sales,Married-civ-spouse,11,202956,0,Husband,Private,0,<=50K
HS-grad,Male,35,White,31,Other-service,Never-married,9,173495,0,Own-child,Private,0,<=50K
HS-grad,Female,45,Black,39,Craft-repair,Married-civ-spouse,9,444219,0,Wife,Private,0,<=50K
Some-college,Female,37,White,48,Adm-clerical,Married-civ-spouse,10,125120,0,Wife,Private,0,<=50K
Some-college,Female,40,White,20,Other-service,Never-married,10,190429,0,Not-in-family,Private,0,<=50K
Bachelors,Male,50,White,48,Sales,Married-civ-spouse,13,248164,0,Husband,Private,4386,>50K
Prof-school,Male,80,White,29,Prof-specialty,Married-civ-spouse,15,208534,0,Husband,Federal-gov,0,<=50K
Bachelors,Male,45,White,35,Exec-managerial,Married-civ-spouse,13,196373,0,Husband,Self-emp-inc,0,>50K
Some-college,Male,40,White,31,Transport-moving,Married-civ-spouse,10,433788,0,Husband,Private,0,>50K
HS-grad,Male,40,White,48,Protective-serv,Married-civ-spouse,9,122086,0,Husband,State-gov,0,<=50K
Assoc-voc,Male,45,White,36,Tech-support,Never-married,11,137314,0,Not-in-family,Private,0,<=50K
HS-grad,Male,50,White,40,Farming-fishing,Married-civ-spouse,9,33068,0,Husband,Self-emp-not-inc,0,<=50K
HS-grad,Male,15,White,57,Prof-specialty,Married-civ-spouse,9,210688,0,Husband,Private,0,<=50K
Bachelors,Female,35,White,26,Prof-specialty,Never-married,13,117833,0,Not-in-family,Local-gov,4865,<=50K
HS-grad,Female,40,White,37,Other-service,Never-married,9,103474,0,Own-child,State-gov,0,<=50K
Doctorate,Male,40,White,65,Exec-managerial,Married-civ-spouse,16,115880,0,Husband,Private,0,>50K
10th,Female,32,White,26,Prof-specialty,Never-married,6,233933,0,Not-in-family,Self-emp-not-inc,0,<=50K
Some-college,Male,40,White,42,Tech-support,Married-civ-spouse,10,52781,0,Husband,Private,0,<=50K
7th-8th,Male,40,White,62,Craft-repair,Divorced,4,113080,0,Own-child,Private,0,<=50K
Assoc-voc,Male,50,White,27,Exec-managerial,Never-married,11,251905,0,Own-child,Private,0,<=50K
Some-college,Male,8,White,76,Sales,Widowed,10,225964,0,Not-in-family,Self-emp-not-inc,0,<=50K
Bachelors,Female,40,White,29,Adm-clerical,Never-married,13,263831,0,Own-child,Private,0,<=50K
12th,Male,40,White,29,Transport-moving,Married-civ-spouse,8,133136,0,Husband,Private,0,>50K
Some-college,Male,40,White,22,Craft-repair,Married-civ-spouse,10,40767,0,Husband,Self-emp-inc,0,<=50K
HS-grad,Female,50,Black,30,Adm-clerical,Never-married,9,355789,0,Not-in-family,Federal-gov,0,<=50K
Some-college,Female,40,White,43,Adm-clerical,Divorced,10,311914,0,Not-in-family,Local-gov,0,<=50K
Bachelors,Male,20,White,23,Other-service,Married-civ-spouse,13,91189,0,Husband,Private,0,<=50K
Prof-school,Male,40,White,44,Prof-specialty,Married-civ-spouse,15,344060,0,Husband,Federal-gov,0,>50K
Bachelors,Male,40,White,41,Other-service,Divorced,13,113823,0,Not-in-family,Private,0,<=50K
Masters,Female,40,Black,49,Prof-specialty,Divorced,14,185800,0,Unmarried,State-gov,7430,>50K
HS-grad,Male,45,White,30,Transport-moving,Never-married,9,76107,0,Not-in-family,Private,0,>50K
Some-college,Male,35,White,23,Handlers-cleaners,Never-married,10,117618,0,Own-child,Private,0,<=50K
HS-grad,Female,40,White,39,Adm-clerical,Widowed,9,238008,0,Own-child,Private,0,<=50K
Bachelors,Male,60,White,32,Sales,Married-civ-spouse,13,136480,0,Husband,Private,0,>50K
Some-college,Male,35,White,50,Craft-repair,Married-civ-spouse,10,285200,1887,Husband,Private,0,>50K
Bachelors,Male,52,White,35,Sales,Married-civ-spouse,13,1226583,0,Husband,Private,0,>50K
HS-grad,Male,40,White,23,Craft-repair,Never-married,9,195767,0,Not-in-family,Private,0,<=50K
Some-college,Male,40,White,25,Craft-repair,Never-married,10,187540,0,Not-in-family,Private,0,<=50K
HS-grad,Female,40,White,40,Sales,Divorced,9,79372,0,Not-in-family,Private,0,<=50K
Bachelors,Male,42,Black,30,Exec-managerial,Married-civ-spouse,13,226665,0,Husband,Private,0,>50K
Some-college,Male,40,White,52,Craft-repair,Married-civ-spouse,10,213209,0,Husband,Private,0,>50K
Some-college,Male,60,Black,49,Machine-op-inspct,Married-civ-spouse,10,211005,0,Husband,Private,0,<=50K
Bachelors,Female,40,White,24,Adm-clerical,Never-married,13,96178,0,Own-child,Private,0,<=50K
Bachelors,Male,40,White,46,Exec-managerial,Married-civ-spouse,13,328216,0,Husband,Private,15024,>50K
Bachelors,Male,50,White,39,Sales,Married-civ-spouse,13,110713,0,Husband,Private,0,>50K
Bachelors,Male,50,White,45,Exec-managerial,Married-civ-spouse,13,225456,0,Husband,Self-emp-not-inc,0,>50K
Bachelors,Female,38,White,62,Adm-clerical,Married-civ-spouse,13,159908,1258,Wife,Local-gov,0,<=50K
Bachelors,Male,50,White,43,Prof-specialty,Married-civ-spouse,13,118308,1977,Husband,Private,0,>50K
Some-college,Female,40,White,45,Machine-op-inspct,Divorced,10,180309,0,Unmarried,Private,0,<=50K
HS-grad,Male,40,White,62,Sales,Married-civ-spouse,9,39630,0,Husband,Self-emp-not-inc,0,<=50K
HS-grad,Female,35,White,28,Farming-fishing,Never-married,9,218887,0,Unmarried,Private,0,<=50K
HS-grad,Male,40,Black,23,Craft-repair,Never-married,9,664670,0,Own-child,Private,0,<=50K
HS-grad,Female,35,White,43,Other-service,Divorced,9,209149,0,Not-in-family,Private,0,<=50K
Bachelors,Male,40,White,26,Craft-repair,Married-civ-spouse,13,84619,0,Husband,Private,0,>50K
HS-grad,Male,50,White,36,Sales,Married-civ-spouse,9,447346,0,Husband,Private,0,>50K
Doctorate,Female,60,White,55,Prof-specialty,Never-married,16,37869,0,Not-in-family,Local-gov,0,<=50K
Bachelors,Female,50,White,48,Exec-managerial,Never-married,13,99086,0,Not-in-family,State-gov,0,<=50K
Assoc-voc,Male,45,White,38,Exec-managerial,Married-civ-spouse,11,326886,0,Husband,Private,0,>50K
HS-grad,Male,30,White,18,Sales,Never-married,9,181755,0,Not-in-family,Private,0,<=50K
HS-grad,Male,70,White,56,Exec-managerial,Married-spouse-absent,9,249368,0,Not-in-family,Self-emp-not-inc,0,<=50K
Masters,Male,40,White,39,Prof-specialty,Never-married,14,326400,0,Not-in-family,Self-emp-not-inc,0,<=50K
11th,Male,65,Amer-Indian-Eskimo,36,Transport-moving,Never-married,7,88967,0,Unmarried,Private,0,<=50K
HS-grad,Male,40,White,42,Craft-repair,Married-civ-spouse,9,170721,2002,Husband,Self-emp-not-inc,0,<=50K
HS-grad,Male,50,White,50,Transport-moving,Married-civ-spouse,9,148953,0,Husband,Private,0,>50K
11th,Male,20,White,17,Handlers-cleaners,Never-married,7,342752,0,Own-child,Private,0,<=50K
7th-8th,Female,40,Black,57,Machine-op-inspct,Widowed,4,220871,0,Unmarried,Private,0,<=50K
HS-grad,Female,12,White,73,Other-service,Widowed,9,29675,0,Other-relative,Private,0,<=50K
Some-college,Male,40,White,50,Adm-clerical,Never-married,10,183611,0,Not-in-family,Federal-gov,0,<=50K
Some-college,Male,45,White,35,Transport-moving,Never-married,10,115215,0,Own-child,Private,0,<=50K
Some-college,Male,45,White,27,Machine-op-inspct,Married-civ-spouse,10,152231,0,Husband,Private,0,<=50K
Some-college,Male,40,White,27,Craft-repair,Never-married,10,225142,0,Own-child,Private,0,<=50K
HS-grad,Male,40,White,23,Craft-repair,Never-married,9,121313,0,Own-child,Self-emp-not-inc,0,<=50K
HS-grad,Female,40,White,25,Adm-clerical,Never-married,9,134821,0,Own-child,Private,0,<=50K
Bachelors,Male,40,White,51,Exec-managerial,Married-civ-spouse,13,311350,0,Husband,Private,0,>50K
10th,Female,40,White,26,Adm-clerical,Married-civ-spouse,6,102106,0,Wife,Private,0,<=50K
HS-grad,Male,40,Black,40,Other-service,Divorced,9,117860,0,Not-in-family,Private,0,<=50K
9th,Female,40,White,58,Other-service,Divorced,5,285885,0,Unmarried,Private,0,<=50K
Some-college,Female,40,White,25,Sales,Never-married,10,212800,0,Own-child,Private,0,<=50K
HS-grad,Female,18,White,29,Sales,Married-civ-spouse,9,194864,0,Wife,Private,0,<=50K
11th,Male,43,White,36,Transport-moving,Married-civ-spouse,7,31438,0,Husband,Private,0,<=50K
HS-grad,Female,60,White,46,Exec-managerial,Divorced,9,148254,0,Not-in-family,Private,0,<=50K
1st-4th,Female,4,Black,69,Priv-house-serv,Widowed,2,113035,0,Not-in-family,Private,0,<=50K
HS-grad,Female,40,White,69,Adm-clerical,Widowed,9,106595,0,Not-in-family,Private,1848,<=50K
HS-grad,Female,40,Black,28,Other-service,Never-married,9,144521,0,Own-child,Private,0,<=50K
HS-grad,Male,48,White,20,Adm-clerical,Never-married,9,172232,0,Own-child,Private,0,<=50K
HS-grad,Female,35,Black,54,Adm-clerical,Separated,9,123592,0,Unmarried,State-gov,3887,<=50K
Some-college,Male,40,White,25,Transport-moving,Never-married,10,191921,0,Own-child,Private,0,<=50K
HS-grad,Male,40,White,64,Handlers-cleaners,Married-civ-spouse,9,237379,0,Husband,Local-gov,3471,<=50K
HS-grad,Female,20,White,17,Sales,Never-married,9,208463,0,Own-child,Private,0,<=50K
HS-grad,Male,40,White,53,Adm-clerical,Married-civ-spouse,9,68985,0,Husband,Federal-gov,0,<=50K
9th,Male,50,White,50,Transport-moving,Divorced,5,22418,0,Not-in-family,Private,0,<=50K
HS-grad,Female,38,White,57,Exec-managerial,Married-civ-spouse,9,163047,0,Wife,Private,0,<=50K
Some-college,Male,40,White,51,Transport-moving,Married-civ-spouse,10,153870,2603,Husband,Private,0,<=50K
Some-college,Male,40,White,47,Craft-repair,Married-civ-spouse,10,197702,0,Husband,Private,0,<=50K
HS-grad,Male,52,White,25,Transport-moving,Never-married,9,166415,0,Unmarried,Private,0,<=50K
Prof-school,Male,52,White,50,Exec-managerial,Married-civ-spouse,15,116211,0,Husband,State-gov,0,>50K
HS-grad,Female,30,White,20,Adm-clerical,Never-married,9,33644,0,Own-child,Private,0,<=50K
Prof-school,Male,70,White,43,Prof-specialty,Married-civ-spouse,15,33331,1977,Husband,State-gov,0,>50K
Bachelors,Female,40,White,46,Prof-specialty,Never-married,13,73019,0,Not-in-family,Private,0,<=50K
Some-college,Female,15,Amer-Indian-Eskimo,53,Exec-managerial,Separated,10,20438,0,Unmarried,Private,0,<=50K
HS-grad,Male,30,White,21,Craft-repair,Never-married,9,109869,0,Own-child,Private,0,<=50K
Some-college,Male,40,White,58,Other-service,Divorced,10,316849,0,Not-in-family,Private,0,<=50K
Bachelors,Male,55,White,30,Sales,Married-civ-spouse,13,208043,0,Husband,Private,0,>50K
HS-grad,Female,40,Black,61,Adm-clerical,Married-civ-spouse,9,153790,0,Wife,Private,0,<=50K
Some-college,Female,35,White,56,Adm-clerical,Divorced,10,153451,0,Not-in-family,State-gov,0,<=50K
HS-grad,Female,40,White,59,Other-service,Divorced,9,96840,0,Unmarried,Private,0,<=50K
HS-grad,Male,20,White,72,Handlers-cleaners,Married-civ-spouse,9,192732,0,Husband,Private,0,<=50K
HS-grad,Male,40,White,33,Adm-clerical,Never-married,9,209101,0,Not-in-family,Private,0,<=50K
HS-grad,Female,40,White,46,Adm-clerical,Married-civ-spouse,9,146919,0,Wife,Private,0,>50K
Some-college,Male,38,White,46,Protective-serv,Married-civ-spouse,10,192323,0,Husband,Local-gov,0,>50K
HS-grad,Female,28,Black,48,Prof-specialty,Never-married,9,217019,0,Unmarried,Private,0,<=50K
HS-grad,Male,40,White,33,Exec-managerial,Married-civ-spouse,9,198211,0,Husband,Private,0,<=50K
Some-college,Female,40,White,21,Handlers-cleaners,Never-married,10,222490,0,Own-child,Private,0,<=50K
HS-grad,Female,45,White,27,Adm-clerical,Divorced,9,106758,0,Unmarried,Private,0,<=50K
HS-grad,Male,40,White,31,Transport-moving,Divorced,9,561334,0,Not-in-family,Private,0,<=50K
Bachelors,Male,40,White,28,Machine-op-inspct,Never-married,13,203710,0,Not-in-family,Private,0,<=50K
Some-college,Female,38,White,45,Adm-clerical,Divorced,10,203322,0,Not-in-family,Local-gov,0,<=50K
HS-grad,Male,40,White,51,Machine-op-inspct,Married-civ-spouse,9,123703,0,Husband,Private,4386,>50K
HS-grad,Female,40,Black,46,Other-service,Never-married,9,312015,0,Not-in-family,State-gov,0,<=50K
Some-college,Male,40,White,61,Adm-clerical,Married-civ-spouse,10,230292,0,Husband,Private,7688,>50K
11th,Female,30,White,17,Sales,Never-married,7,114420,0,Own-child,Private,0,<=50K
Bachelors,Male,40,White,26,Craft-repair,Never-married,13,120238,0,Not-in-family,Private,3325,<=50K
10th,Male,60,White,35,Craft-repair,Divorced,6,100375,0,Not-in-family,Private,0,<=50K
11th,Male,70,White,33,Exec-managerial,Married-civ-spouse,7,42485,0,Husband,Self-emp-not-inc,0,<=50K
HS-grad,Female,35,White,39,Adm-clerical,Never-married,9,134367,0,Own-child,Local-gov,0,<=50K
HS-grad,Female,30,White,42,Other-service,Divorced,9,147099,0,Unmarried,Private,0,<=50K
Bachelors,Male,47,White,35,Exec-managerial,Married-civ-spouse,13,36214,0,Husband,Private,4386,>50K
HS-grad,Female,50,White,45,Tech-support,Divorced,9,119904,0,Not-in-family,Private,0,>50K
Bachelors,Male,40,White,47,Sales,Never-married,13,105779,0,Own-child,Self-emp-inc,0,>50K
11th,Male,48,White,64,Craft-repair,Married-civ-spouse,7,165020,0,Husband,Private,0,<=50K
Prof-school,Female,47,White,39,Exec-managerial,Married-civ-spouse,15,187098,0,Wife,Private,15024,>50K
Bachelors,Male,40,White,62,Prof-specialty,Married-civ-spouse,13,121319,0,Husband,Private,3103,>50K
